nights	date	telescope	instrument
2	2021, Aug 29-30	Magellan	LDSS3-C
1	2021, Aug 28	Magellan	FIRE 
1.5	2021, Aug 19-20	Magellan	FIRE 
2	2021, Aug 2-3	Magellan	LDSS3-C
3	2021, Jul 21-23	Magellan	FIRE 
3	2021, Jun 20-22	Magellan	FIRE 
1	2021, Apr 17	Magellan	IMACS
0	2021, Apr 8-9	Magellan	LDSS3-C [COVID-19]
0	2021, Mar 19	Magellan	LDSS3-C [COVID-19]
0	2021, Feb 14-15	Magellan	LDSS3-C [COVID-19]
0	2020, Oct 22-23	Magellan	FIRE  [COVID-19]
0	2020, Aug 13-14	Magellan	LDSS3-C  [COVID-19]
0	2020, Jun 27-29	Magellan	FIRE  [COVID-19]
0	2020, Jun 24-25	Magellan	LDSS3-C  [COVID-19]
3	2020, Feb 28 - Mar 1	Magellan	IMACS, LDSS3-C
4	2019, Sept 27-30	Magellan	IMACS
4	2019, Aug 22-25	Magellan	IMACS/MMTF, LDSS3-C
4	2019, Jul 20-23	Magellan	IMACS, FIRE
3	2019, Jun 8-10	Magellan	LDSS3-C
0.5	2019, May 30	Keck	OSIRIS*
2	2019, May 4-5	Magellan	LDSS3-C
2	2019, Jan 7-8	Magellan	LDSS3-C
2	2018, Dec 10-11	Magellan	LDSS3-C
1	2018, Jul 6-7	Keck	OSIRIS*
1.5	2018, Jul 7-9	Keck	KCWI*
0.5	2017, Dec 23	Keck	OSIRIS*
1	2017, Nov 22-23	Keck	KCWI*
0.5	2017, Sept 1	Keck	OSIRIS*
0.5	2017, Aug 12	Keck	OSIRIS*
1	2017, Aug 11	Keck	OSIRIS
2	2017, Jul 16-17	Keck	OSIRIS
1	2016, Aug 14-15	Keck	OSIRIS*
4	2015, Dec 29 - 2016, Jan 1	MMT	MMIRS
2	2014, Dec 30-31	Magellan	FIRE
3	2014, Oct 24-26	LBT	LUCI
3	2014, Jun 11-13	LBT	LUCI MODS
1	2014, May 7	MMT	Blue Channel
3	2014, Apr 18-20	LBT	LUCI
8	2014, Apr 9-16	LBT	LUCI
1	2014, Jan 2	LBT	LUCI
3	2013, Sept 9-11	MMT	Red Channel
2	2013, Jul 1-2	LBT	MODS
2	2013, May 16-17	MMT	Red Channel
3	2013, Apr 7-9	LBT	MODS
3	2013, Mar 4-6	LBT	LUCI
2	2013, Jan 17-18	LBT	MODS
2	2012, Oct 1-2	LBT	LUCI
2	2012, Sept 6-7	MMT	Red Channel
2	2012, Jul 9-10	MMT	Red Channel
3	2012, May 4-6	MMT	SWIRC
4	2012, Apr 10-13	Magellan	MMIRS
2	2012, Jan 6-7	MMT	SWIRC
4	2011, Dec 30 - 2012, Jan 2	Magellan	MMIRS
2	2011, Oct 15-16	MMT	SWIRC
4	2011, Jul 24-27	CTIO-4m	NEWFIRM
4	2011, Jun 9-12	Magellan	LDSS3
3	2010, Nov 1-3	LBT	LUCI
4	2010, Apr 14-17	LBT	LBC, LUCI
3	2010, Jan 2-4 	Magellan	PANIC
3	2009, Oct 15-17	LBT	LBC
4	2009, Apr 26-29	Keck	DEIMOS
2	2008, Feb 29 - Mar 1	Magellan	IMACS
4	2008, Mar 4-7	Magellan	IMACS
5	2007, Sep 4-8  	Magellan	IMACS
3	2005, Sep 25-27 	Magellan	LDSS3
